a/a,CHANGE_DATE,TEMPERATURE,HUMIDITY,MALE,FEMALE,MO_DACUS,FEMALE_POSOSTO,GONIMOTHTA,DAC_METRHSH_DACUS_ID,DHMOS_ID,DHMOS_CODE,DHMOS_DESCR,MIN,SYNOLO_DAKON,METEO_ID,METEO_DESCR,ALTERN_METEO_ID,ALTERN_METEO_DESCR,NOMOS_DESCR
34,09/20/11,28,51.9,12,13,5,0.52,,27094,16859,84040700,Δ.Δ.Κοσμαδαίων,12,25,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
35,09/27/11,28,51.9,7,11,3.5,0.61,,27095,16859,84040700,Δ.Δ.Κοσμαδαίων,7,18,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
36,10/04/11,27,52,8,17,5,0.68,,27096,16859,84040700,Δ.Δ.Κοσμαδαίων,8,25,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
37,10/12/11,26,52,16,14,6,0.47,,27097,16859,84040700,Δ.Δ.Κοσμαδαίων,14,30,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
38,10/17/11,26,52,0,0,0,,,27098,16859,84040700,Δ.Δ.Κοσμαδαίων,0,0,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
39,10/26/11,26,52,8,10,3.5,0.56,,27099,16859,84040700,Δ.Δ.Κοσμαδαίων,8,18,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
40,07/21/11,29,47.8,20,23,8.2,0.53,,27100,16859,84040700,Δ.Δ.Κοσμαδαίων,20,43,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
41,07/28/11,30,47.8,10,19,5.8,0.66,,27101,16848,84040400,Δ.Δ.Καστανέας,10,29,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
42,08/03/11,30,50.9,6,5,2.1,0.45,,27102,16848,84040400,Δ.Δ.Καστανέας,5,11,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
43,08/10/11,30,50.9,3,4,1.3,0.57,,27103,16848,84040400,Δ.Δ.Καστανέας,3,7,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
44,08/17/11,30,50.9,8,12,4,0.6,,27104,16848,84040400,Δ.Δ.Καστανέας,8,20,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
45,08/24/11,29,51,12,17,5.7,0.59,,27105,16848,84040400,Δ.Δ.Καστανέας,12,29,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
46,08/30/11,30,50.9,15,22,7.4,0.59,,27106,16848,84040400,Δ.Δ.Καστανέας,15,37,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
47,09/06/11,29,51.9,23,38,12.2,0.62,,27107,16848,84040400,Δ.Δ.Καστανέας,23,61,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
48,09/13/11,29,51.9,27,48,15,0.64,,27108,16848,84040400,Δ.Δ.Καστανέας,27,75,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
49,09/20/11,28,51.9,19,25,8.7,0.57,,27109,16848,84040400,Δ.Δ.Καστανέας,19,44,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
50,09/27/11,28,51.9,9,8,3.4,0.47,,27110,16848,84040400,Δ.Δ.Καστανέας,8,17,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
51,10/04/11,27,52,12,14,5.2,0.54,,27111,16848,84040400,Δ.Δ.Καστανέας,12,26,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
52,10/12/11,27,52,10,13,4.5,0.57,,27112,16848,84040400,Δ.Δ.Καστανέας,10,23,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
53,10/17/11,27,52.5,3,3,1.2,0.5,,27113,16848,84040400,Δ.Δ.Καστανέας,3,6,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
54,10/26/11,27,52.5,9,10,3.7,0.53,,27114,16848,84040400,Δ.Δ.Καστανέας,9,19,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
55,08/12/11,33,48.3,84,105,3.8,0.56,,27171,16884,84050302,"Βελανιδιά,η (Δ.Δ.Κουμαιίκων)",84,189,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
56,07/17/11,31,49,400,427,17.58,0.52,,27184,16884,84050302,"Βελανιδιά,η (Δ.Δ.Κουμαιίκων)",400,827,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
57,07/21/11,29,30,19,31,10,0.62,,26795,16862,84040800,Δ.Δ.Λέκας,19,50,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
58,07/28/11,29,30.5,12,21,12,0.64,,26796,16862,84040800,Δ.Δ.Λέκας,12,33,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
59,08/03/11,30,30.5,4,13,3.4,0.76,,26797,16862,84040800,Δ.Δ.Λέκας,4,17,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
60,08/10/11,30,30.5,4,7,2.2,0.64,,26798,16862,84040800,Δ.Δ.Λέκας,4,11,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
61,08/17/11,31,30.5,6,11,3.4,0.65,,26799,16862,84040800,Δ.Δ.Λέκας,6,17,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
62,08/24/11,30,30.5,11,18,5.8,0.62,,26815,16862,84040800,Δ.Δ.Λέκας,11,29,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
63,08/30/11,29,30,9,19,5.6,0.68,,26966,16862,84040800,Δ.Δ.Λέκας,9,28,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
64,09/06/11,28,30,9,17,5.2,0.65,,26967,16862,84040800,Δ.Δ.Λέκας,9,26,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
65,09/13/11,28,30,14,42,11.2,0.75,,26968,16862,84040800,Δ.Δ.Λέκας,14,56,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
66,09/20/11,28,30,7,24,6.2,0.77,,26969,16862,84040800,Δ.Δ.Λέκας,7,31,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
67,08/17/11,30,56,50,30,5.71,0.38,,26477,16763,84010800,Δ.Δ.Παλαιοκάστρου,30,80,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
68,08/24/11,30,56,29,23,3.99,0.44,,26478,16763,84010800,Δ.Δ.Παλαιοκάστρου,23,52,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
69,08/31/11,32,56,41,30,5.45,0.42,,26479,16763,84010800,Δ.Δ.Παλαιοκάστρου,30,71,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
70,09/06/11,29,57.7,37,34,5.9,0.48,,26480,16763,84010800,Δ.Δ.Παλαιοκάστρου,34,71,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
71,09/13/11,28,57.7,95,84,14.9,0.47,,26481,16763,84010800,Δ.Δ.Παλαιοκάστρου,84,179,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
72,09/21/11,28,57.7,28,17,3.4,0.38,,26482,16763,84010800,Δ.Δ.Παλαιοκάστρου,17,45,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
73,09/27/11,27,57.7,42,18,4.6,0.3,,26483,16763,84010800,Δ.Δ.Παλαιοκάστρου,18,60,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
74,10/06/11,26,58.5,105,73,17.8,0.41,,26484,16763,84010800,Δ.Δ.Παλαιοκάστρου,73,178,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
75,10/17/11,26,58.5,90,66,14.8,0.42,,26485,16763,84010800,Δ.Δ.Παλαιοκάστρου,66,156,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
76,11/01/11,24,58.5,94,47,12.8,0.33,,26486,16763,84010800,Δ.Δ.Παλαιοκάστρου,47,141,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
77,07/14/11,30,44.9,86,53,13.9,0.38,,26487,16910,84060600,Δ.Δ.Μυτιληνιών,53,139,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
78,07/20/11,30,44.9,35,27,6.2,0.44,,26488,16910,84060600,Δ.Δ.Μυτιληνιών,27,62,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
79,07/27/11,32,44.9,25,26,5.1,0.51,,26489,16910,84060600,Δ.Δ.Μυτιληνιών,25,51,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
80,08/03/11,32,44.4,6,4,1,0.4,,26490,16910,84060600,Δ.Δ.Μυτιληνιών,4,10,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
81,08/10/11,32,44.4,5,3,0.8,0.38,,26492,16910,84060600,Δ.Δ.Μυτιληνιών,3,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
82,08/19/11,30,44.4,10,14,2.4,0.58,,26493,16910,84060600,Δ.Δ.Μυτιληνιών,10,24,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
83,09/02/11,28,47.1,65,54,19.1,0.45,,26495,16910,84060600,Δ.Δ.Μυτιληνιών,54,119,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
84,09/15/11,28,47.1,108,82,19,0.43,,26496,16910,84060600,Δ.Δ.Μυτιληνιών,82,190,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
85,09/20/11,27,47.1,41,40,8.1,0.49,,26497,16910,84060600,Δ.Δ.Μυτιληνιών,40,81,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
86,09/27/11,28,47.1,18,12,3,0.4,,26498,16910,84060600,Δ.Δ.Μυτιληνιών,12,30,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
87,10/12/11,26,49,57,40,9.7,0.41,,26503,16910,84060600,Δ.Δ.Μυτιληνιών,40,97,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
88,10/17/11,24,49,12,15,2.7,0.56,,26504,16910,84060600,Δ.Δ.Μυτιληνιών,12,27,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
89,10/26/11,24,49,8,7,1.5,0.47,,26512,16910,84060600,Δ.Δ.Μυτιληνιών,7,15,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
90,11/01/11,24,50,10,7,1.7,0.41,,26513,16910,84060600,Δ.Δ.Μυτιληνιών,7,17,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
91,07/14/11,30,47.5,189,536,8.5,0.74,,26574,16729,84010300,Δ.Δ.Αμπέλου,189,725,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
92,07/21/11,30,47.5,126,398,6.2,0.76,,26575,16729,84010300,Δ.Δ.Αμπέλου,126,524,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
93,07/28/11,32,48.9,114,313,5.2,0.73,,26576,16729,84010300,Δ.Δ.Αμπέλου,114,427,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
94,08/03/11,32,48.9,203,661,10.4,0.77,,26587,16729,84010300,Δ.Δ.Αμπέλου,203,864,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
95,08/10/11,32,48.9,159,512,8.08,0.76,,26588,16729,84010300,Δ.Δ.Αμπέλου,159,671,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
96,08/17/11,32,48.9,150,481,7.6,0.76,,26589,16729,84010300,Δ.Δ.Αμπέλου,150,631,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
97,08/24/11,32,48.9,202,694,10.7,0.77,,26599,16729,84010300,Δ.Δ.Αμπέλου,202,896,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
98,08/30/11,30,48.9,252,795,12.6,0.76,,26600,16729,84010300,Δ.Δ.Αμπέλου,252,1047,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
99,09/06/11,29,49.8,702,1834,30.9,0.72,,26601,16729,84010300,Δ.Δ.Αμπέλου,702,2536,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
100,09/13/11,28,49.8,784,3206,49.25,0.8,,26602,16729,84010300,Δ.Δ.Αμπέλου,784,3990,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
101,09/20/11,27,52,708,2798,43.8,0.8,,26603,16729,84010300,Δ.Δ.Αμπέλου,708,3506,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
102,09/27/11,28,52,289,1077,17.07,0.79,,26611,16729,84010300,Δ.Δ.Αμπέλου,289,1366,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
103,10/04/11,26,52,269,977,15.57,0.78,,26620,16729,84010300,Δ.Δ.Αμπέλου,269,1246,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
104,10/12/11,25,52,225,882,13.83,0.8,,26621,16729,84010300,Δ.Δ.Αμπέλου,225,1107,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
105,10/17/11,26,53,65,157,2.77,0.71,,26622,16729,84010300,Δ.Δ.Αμπέλου,65,222,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
106,10/26/11,25,53,76,211,3.5,0.74,,26623,16729,84010300,Δ.Δ.Αμπέλου,76,287,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
107,07/14/11,29,44.9,87,45,26.4,0.34,,26624,16935,84061100,Δ.Δ.Χώρας,45,132,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
108,07/20/11,30,44.9,46,23,13.8,0.33,,26625,16935,84061100,Δ.Δ.Χώρας,23,69,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
109,07/27/11,30,44.9,18,12,6,0.4,,26626,16935,84061100,Δ.Δ.Χώρας,12,30,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
110,08/03/11,30,44.4,1,0,0.2,0,,26627,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
111,08/10/11,30,44.4,4,6,2,0.6,,26628,16935,84061100,Δ.Δ.Χώρας,4,10,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
112,08/19/11,32,44.4,1,2,1.5,0.67,,26629,16935,84061100,Δ.Δ.Χώρας,1,3,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
113,08/24/11,32,46,1,0,0.2,0,,26630,16935,84061100,Δ.Δ.Χώρας,0,1,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
114,09/02/11,30,47.1,0,0,0,,,26631,16935,84061100,Δ.Δ.Χώρας,0,0,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
115,09/15/11,29,47.1,8,13,5.3,0.62,,26632,16935,84061100,Δ.Δ.Χώρας,8,21,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
116,09/20/11,29,49,16,16,6.4,0.5,,26633,16935,84061100,Δ.Δ.Χώρας,16,32,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
117,09/24/11,28,49,9,3,2.4,0.25,,26634,16935,84061100,Δ.Δ.Χώρας,3,12,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
118,09/27/11,27,50,6,2,1.6,0.25,,26635,16935,84061100,Δ.Δ.Χώρας,2,8,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
119,10/12/11,26,52,21,15,7.2,0.42,,26636,16935,84061100,Δ.Δ.Χώρας,15,36,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
120,10/17/11,26,52,3,6,2.25,0.67,,26637,16935,84061100,Δ.Δ.Χώρας,3,9,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
121,10/26/11,25,53,7,5,2.4,0.42,,26638,16935,84061100,Δ.Δ.Χώρας,5,12,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
122,11/01/11,23,53,5,5,2,0.5,,26639,16935,84061100,Δ.Δ.Χώρας,5,10,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),0,no alternative,ΣΑΜΟΥ
123,07/14/11,30,45.5,30,21,10.2,0.41,,26640,16908,84060500,Δ.Δ.Μύλων,21,51,217,ΣΑΜΟΣ (ΚΑΡΛΟΒΑΣΙ),76,ΙΚΑΡΙΑ - ΡΑΧΕΣ,ΣΑΜΟΥ
